,Player,Pos_x,Age_x,Tm,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
650,Gabe Vincent,PG,27,LAL,5,0,25.4,2.4,6.4,.375,0.4,3.4,.118,2.0,3.0,.667,.406,0.2,0.4,.500,0.4,0.6,1.0,3.0,1.2,0.0,0.4,2.4,5.4,2024,6.0,.411,.531,.063,1.8,2.5,2.2,14.7,2.3,0.0,5.7,11.9,-0.1,0.1,0.0,.011,-5.5,1.4,-4.2,-0.1
617,Garrett Temple,SG,37,TOR,20,0,7.1,0.9,1.9,.459,0.4,1.0,.400,0.5,0.9,.529,.568,0.5,0.5,.900,0.4,1.0,1.4,0.8,0.4,0.1,0.3,0.6,2.6,2024,14.7,.616,.541,.270,6.1,15.2,10.5,15.0,2.7,0.6,12.7,14.4,0.2,0.1,0.4,.122,-0.5,0.0,-0.5,0.1
402,Garrison Mathews,SG,27,ATL,57,4,14.2,1.4,3.0,.459,1.2,2.6,.452,0.2,0.4,.500,.653,0.5,0.6,.811,0.2,1.1,1.4,0.5,0.3,0.1,0.3,1.8,4.4,2024,8.5,.676,.859,.218,1.8,8.9,5.2,4.8,0.9,0.8,8.4,10.4,1.1,0.1,1.3,.077,-2.4,-0.9,-3.3,-0.3
262,Gary Harris,SG,29,ORL,47,20,23.0,2.5,5.5,.456,1.4,3.7,.375,1.1,1.8,.627,.583,0.7,0.9,.744,0.4,1.2,1.6,1.5,0.9,0.3,0.6,1.7,7.1,2024,10.1,.601,.680,.166,2.3,6.0,4.1,9.1,1.8,1.1,8.9,12.3,1.1,1.3,2.4,.107,-1.9,1.1,-0.8,0.3
501,Gary Payton II,SG,31,GSW,38,0,15.2,2.2,4.1,.539,0.4,1.2,.356,1.8,2.9,.615,.591,0.3,0.5,.611,1.1,1.5,2.6,1.1,0.9,0.4,0.6,1.6,5.1,2024,13.7,.596,.292,.117,8.1,10.6,9.3,9.8,2.9,2.2,12.4,13.5,0.7,0.8,1.4,.118,-1.4,2.4,1.0,0.4
637,Gary Trent Jr.,SG,25,TOR,65,35,27.8,4.8,11.4,.424,2.5,6.2,.402,2.4,5.2,.450,.533,1.0,1.3,.770,0.4,2.2,2.6,1.6,1.0,0.2,0.6,1.3,13.2,2024,11.7,.550,.542,.117,1.4,8.9,5.1,8.1,1.8,0.5,4.9,19.5,0.8,0.8,1.6,.043,-1.3,-1.4,-2.6,-0.3
474,Georges Niang,PF,30,CLE,74,10,22.6,3.6,7.8,.456,1.9,4.9,.385,1.7,2.9,.574,.576,0.6,0.8,.857,0.3,3.2,3.5,1.2,0.3,0.2,0.9,2.4,9.6,2024,10.2,.593,.626,.097,1.4,15.5,8.6,7.6,0.7,0.9,9.8,17.6,0.7,1.9,2.6,.074,-2.2,-0.3,-2.5,-0.2
13,Giannis Antetokounmpo,PF,29,MIL,68,68,35.2,11.5,18.7,.616,0.5,1.7,.288,11.0,17.0,.649,.629,7.2,10.9,.657,2.7,8.8,11.5,6.4,1.2,1.0,3.4,2.9,30.7,2024,29.8,.653,.093,.583,8.5,26.6,17.8,31.7,1.6,2.4,12.8,32.9,9.0,3.4,12.4,.249,6.7,2.3,9.0,6.6
62,Goga Bitadze,C,24,ORL,56,33,16.5,2.2,3.6,.610,0.0,0.2,.154,2.1,3.3,.642,.615,1.0,1.4,.667,1.9,3.0,4.9,1.4,0.5,1.3,0.7,1.8,5.4,2024,18.1,.637,.065,.405,13.4,21.4,17.4,11.9,1.6,7.1,14.8,13.1,1.8,1.9,3.7,.192,-0.5,2.9,2.5,1.0
273,Gordon Hayward,SF,33,OKC,44,26,25.4,3.8,8.4,.454,0.8,1.8,.407,3.0,6.5,.467,.499,1.8,2.4,.748,0.8,3.0,3.8,3.4,0.8,0.3,1.4,1.4,10.2,2024,12.7,.538,.220,.291,3.5,13.3,8.3,19.5,1.5,1.0,12.6,18.7,0.5,0.7,1.2,.052,-1.6,-0.6,-2.2,-0.1
160,Gradey Dick,SG,20,TOR,52,11,19.8,2.8,6.7,.423,1.3,3.7,.361,1.5,3.0,.500,.523,0.6,0.7,.892,0.5,1.6,2.0,1.3,0.5,0.0,0.8,1.4,7.7,2024,8.9,.545,.554,.106,2.5,9.0,5.7,8.6,1.3,0.2,10.1,17.0,0.0,0.3,0.3,.016,-3.4,-2.0,-5.4,-0.9
686,Grant Williams,PF,25,CHO,69,37,27.4,3.4,7.7,.438,1.6,4.5,.363,1.7,3.2,.543,.544,1.4,1.8,.758,1.1,2.9,4.1,2.0,0.6,0.5,1.4,2.9,9.8,2024,9.8,.574,.585,.233,4.5,11.9,8.2,9.6,1.1,1.7,14.2,15.6,0.7,1.2,1.9,.048,-2.3,-0.7,-3.0,-0.5
9,Grayson Allen,SG,28,PHO,68,68,33.6,4.5,8.9,.505,2.8,5.9,.470,1.8,3.1,.571,.659,1.7,1.9,.884,0.6,3.2,3.8,3.1,0.9,0.6,1.3,2.1,13.5,2024,13.8,.688,.655,.212,2.3,10.2,6.5,12.4,1.3,1.6,11.6,14.2,4.5,1.8,6.3,.132,1.1,0.0,1.1,1.8
